uniquedocs_df.Title,uniquedocs_df.Abstract,uniquedocs_df.Authors,uniquedocs_df.placeOfPublication,uniquedocs_df.pubdate,uniquedocs_df.pubtitle,uniquedocs_df.year
The Shopper's Notebook,Whether you have a family of six for which you cook and bake every day or are a business girl who cooks occasional meals in a kitchenette there are times when you need a really efficient mixer. The one pictured has many of the advantages of those very...," Bartlett, Maxine
Maxine
Maxine Bartlett
Bartlett
MAXINE BARTLETT"," Los Angeles, Calif.",13-Feb-40,Los Angeles Times (1923-Current File),1940
"""I Take This Man""","BRENDA awakened early on Thursday. She hurriedly made her toast and coffee, flying about the little kitchenette in a loose robe over her blue pajamas. She drank orange juice and was going in to take her bath when the maid came in. Alan Tremaine was coming for dinner, everything must be perfect."," BY ANNE TEDLOCK BROOKS
BY ANNE TEDLOCK BROOKS"," Washington, D.C.",20-Feb-40,The Washington Post (1923-1954),1940
"SCRIPT REJECTED, WRITER ENDS LIFE","With a letter of rejection for his last radio script--""Roll Call""--in his hand, Baxter Pickering, 42 years old, a radio script writer and a master of ceremonies under the name of Dale Baxter, was found dead early yesterday morning in his one-room kitchenette apartment ...",," New York, N.Y.",25-Feb-40,New York Times (1923-Current file),1940
EX-WIFE OF EXPERT ON CARDS ENDS LIFE,"Mrs. Elizabeth Merriken Moyse, 39-year-old bridge enthusiast and former wife of Alphonse Moyse Jr., editor of The Bridge World, an Ely Culbertson publication, committed suicide by gas early yesterday morning in her one-room kitchenette apartment at 144 East Fiftyfifth Street, between Lexington and Third Avenues.",," New York, N.Y.",8-May-40,New York Times (1923-Current file),1940
The Shopper's Notebook,"For every size and type of home these days there is a juice extractor that just fits the space and budget requirements. Whether your way of life calls for a huge electric wonder or the tiny hand variety which tucks into purse or suitcase, you can find..."," Bartlett, Maxine
Maxine
Maxine Bartlett
Bartlett
MAXINE BARTLETT"," Los Angeles, Calif.",17-May-40,Los Angeles Times (1923-Current File),1940
PICKETING OF KITCHENETTES,," Brown, Lambert W
Lambert
Lambert W Brown
Brown
W
Lambert W Brown"," Chicago, Ill.",25-May-40,The Chicago Defender (National edition) (1921-1967),1940
Standards For Defense Housing Set,Apartments with windowless rooms or improperly ventilated kitchenettes will not be accepted or inspected by the housing subcommittee of the District Defense Council which next week inaugurates a Defense Housing Registry.,," Washington, D.C.",22-Feb-41,The Washington Post (1923-1954),1941
ABOVE SUSPICION,"FROM the kitchenette, Carol called, ""You're all packed, Johnny? Everything?"""," Decker, Duane
Duane
Duane Decker
Decker
Duane Decker"," Los Angeles, Calif.",27-Apr-41,Los Angeles Times (1923-Current File),1941
EVERYBODY GOES WHEN the WAGON COMES,"WHEN YOU SEE the cats walk down the avenue with those peg pants and 34-inch draped coats and wide brim hats; when women parade down the streets in house coats and slacks; when you see the boulevards jammed with old broken down cars, and when you see the kitchenette children playing in the streets, it's then, my friends you'll know spring is here..."," NOSEY, OLE
OLE
OLE NOSEY
NOSEY
OLE NOSEY"," Chicago, Ill.",17-May-41,The Chicago Defender (National edition) (1921-1967),1941
KITCHENETTE MANAGER SLAYS HUSBAND,"Mrs. Verna Mae Gant, 38, of 421 East Forty-fifth street manager of a kitchenette apartment building in which she resides, is being held by police this week pending the outcome of an inquest into the death of her husband...",," Chicago, Ill.",24-May-41,The Chicago Defender (National edition) (1921-1967),1941
Patterns by Clotilde,"Aprons! No one can have too many of them, whether her role is that of kitchenette hostess or the chatelaine of a large household. The four patterns illustrated fashion an acceptable variety of aprons, ranging from dainty little wisps, to assist in raiding the ice box on a midnight raid, to full..."," Clotilde
Clotilde"," Chicago, Ill.",8-Jun-41,Chicago Daily Tribune (1923-1963),1941
