Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
"The Lowthers (Romeo, Juliet) Now Are One","North Conway, N.H., Jan. 5. -- The turbulent, parent-balked romance of pretty socialite, Eileen (Juliet) Herrick and George (Romeo) Lowther 3d rocketed into a long-delayed rendezvous with a preacher in this White Mountain ski center today.",151263752,Historical Newspapers," By the Associated Press
By the Associated Press"," Copyright The Washington Post Company Jan 6, 1940"," 287476772 , 2235172 , 48614", article," Jan 6, 1940",, English, English, 3," Washington, D.C.","Jan 6, 1940",The Washington Post (1923-1954),1940,http://search.proquest.com/docview/151263752?accountid=14496, 3,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpwashingtonpost&amp;atitle=The+Lowthers+%28Romeo%2C+Juliet%29+Now+Are+One&amp;title=The+Washington+Post+%281923-1954%29&amp;issn=&amp;date=1940-01-06&amp;volume=&amp;issue=&amp;spage=3&amp;au=By+the+Associated+Press&amp;isbn=&amp;jtitle=The+Washington+Post+%281923-1954%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Washington Post
MOUNT VERNON SEMINARY,"OLDEST NONSECTARIAN boarding school for girls in Washington -- and one of the most distinguished -- is Mount Vernon Seminary, which occupies a beautiful campus on Nebraska avenue.",151333213,Historical Newspapers,," Copyright The Washington Post Company Mar 17, 1940"," 216404212 , 1944792 , 48614", article," Mar 17, 1940",, English, English,," Washington, D.C.","Mar 17, 1940",The Washington Post (1923-1954),1940,http://search.proquest.com/docview/151333213?accountid=14496, OT5,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpwashingtonpost&amp;atitle=MOUNT+VERNON+SEMINARY&amp;title=The+Washington+Post+%281923-1954%29&amp;issn=&amp;date=1940-03-17&amp;volume=&amp;issue=&amp;spage=OT5&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post+%281923-1954%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Washington Post
FOUR INJURED IN FIRE,,105402434,Historical Newspapers,," Copyright New York Times Company Mar 27, 1940"," 94811791-1 , 1543552 , 43896", article," Mar 27, 1940",0362-4331, English, English,," New York, N.Y.","Mar 27, 1940",New York Times (1923-Current file),1940,http://search.proquest.com/docview/105402434?accountid=14496, 20,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=FOUR+INJURED+IN+FIRE%3A+WOMAN+GRAVELY+BURNED--BRONX+ROOMING+HOUSE+IS+WRECKED&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1940-03-27&amp;volume=&amp;issue=&amp;spage=20&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
The Shopper's Notebook,,165072601,Historical Newspapers," Bartlett, Maxine
Maxine
Maxine Bartlett
Bartlett
MAXINE BARTLETT"," Copyright Times Mirror Company Jul 25, 1940"," 410161211 , 5704662 , 53850", article," Jul 25, 1940",0458-3035, English, English, A6," Los Angeles, Calif.","Jul 25, 1940",Los Angeles Times (1923-Current File),1940,http://search.proquest.com/docview/165072601?accountid=14496, A6,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=The+Shopper%27s+Notebook%3A+Wire+Rack+Handy+for+Housewife+Who+Finds+Kitchen+Space+Limited&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1940-07-25&amp;volume=&amp;issue=&amp;spage=A6&amp;au=Bartlett%2C+Maxine&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
BRITISH LAUNCH DRIVE TO EXCEED NAZI PRODUCTION,,176500791,Historical Newspapers," Rue, Larry
Larry
Larry Rue
Rue
LARRY RUE"," Copyright Tribune Publishing Company Nov 5, 1940"," 466870232 , 6062662 , 53854", article," Nov 5, 1940",, English, English,," Chicago, Ill.","Nov 5, 1940",Chicago Daily Tribune (1923-1963),1940,http://search.proquest.com/docview/176500791?accountid=14496, 11,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=BRITISH+LAUNCH+DRIVE+TO+EXCEED+NAZI+PRODUCTION%3A+GOAL+HELD+POSSIBLE+IN+SIX+MONTHS.&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1940-11-05&amp;volume=&amp;issue=&amp;spage=11&amp;au=Rue%2C+Larry&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
DIES IN PARK AVE. BLAST,,105325123,Historical Newspapers,," Copyright New York Times Company Nov 30, 1940"," 113121416-1 , 1641674 , 43896", article," Nov 30, 1940",0362-4331, English, English,," New York, N.Y.","Nov 30, 1940",New York Times (1923-Current file),1940,http://search.proquest.com/docview/105325123?accountid=14496, 32,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=DIES+IN+PARK+AVE.+BLAST%3A+PLANE+DESIGNER+FOUND+AFTER+GAS+EXPLOSION+IN+EX-WIFE%27S+HOME&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1940-11-30&amp;volume=&amp;issue=&amp;spage=32&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
"MOTHER KILLS CHILD, THEN ENDS HER LIFE","After killing her 7-year-old daughter by gas poisoning while attempting to end her own life, Mrs. John Peck ran to the roof of the six-story apartment house at 36-11 Bowne Street, Flushing, Queens, shortly after 2:20 o'clock this morning and jumped to her death in the courtyard below.",106108423,Historical Newspapers,," Copyright New York Times Company Mar 25, 1941"," 85265565-1 , 1494680 , 43896", article," Mar 25, 1941",0362-4331, English, English,," New York, N.Y.","Mar 25, 1941",New York Times (1923-Current file),1941,http://search.proquest.com/docview/106108423?accountid=14496, 25,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=MOTHER+KILLS+CHILD%2C+THEN+ENDS+HER+LIFE%3A+JUMPS+FROM+ROOF+AFTER+TURNING+ON+GAS+IN+FLUSHING&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1941-03-25&amp;volume=&amp;issue=&amp;spage=25&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
Rents Average $52 for New D.C. Dwellings,"The average monthly rental asked for the 6,900 dwelling units constructed for rent in the District in the last 15 months is $52, according to a survey conducted by the Work Projects Administration.",151363091,Historical Newspapers,," Copyright The Washington Post Company Jun 13, 1941"," 227604822 , 1983992 , 48614", article," Jun 13, 1941",, English, English,," Washington, D.C.","Jun 13, 1941",The Washington Post (1923-1954),1941,http://search.proquest.com/docview/151363091?accountid=14496, 27,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpwashingtonpost&amp;atitle=Rents+Average+%2452+for+New+D.C.+Dwellings&amp;title=The+Washington+Post+%281923-1954%29&amp;issn=&amp;date=1941-06-13&amp;volume=&amp;issue=&amp;spage=27&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post+%281923-1954%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Washington Post
URBAN TO USE OWN CAMPUS,,165173179,Historical Newspapers,," Copyright Times Mirror Company Jun 20, 1941"," 411345941 , 5708012 , 53850", article," Jun 20, 1941",0458-3035, English, English, B8," Los Angeles, Calif.","Jun 20, 1941",Los Angeles Times (1923-Current File),1941,http://search.proquest.com/docview/165173179?accountid=14496, B8,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=URBAN+TO+USE+OWN+CAMPUS&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1941-06-20&amp;volume=&amp;issue=&amp;spage=B8&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
"Bruce Petway, Catcher Of National Fame, Dies","Death ""tagged"" Buddy Petway, Friday, at the Cook county hospital where he had been sick a month--but Buddy went out smiling just as he took things in life. Tuesday afternoon, former teammates of Buddy, listened to the...",492599104,Historical Newspapers,," Copyright Real Times, Inc. Jul 12, 1941"," 740981082 , 7289292 , 68419", article," Jul 12, 1941",, English, English, 24," Chicago, Ill.","Jul 12, 1941",The Chicago Defender (National edition) (1921-1967),1941,http://search.proquest.com/docview/492599104?accountid=14496, 24,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=Bruce+Petway%2C+Catcher+Of+National+Fame%2C+Dies&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1941-07-12&amp;volume=&amp;issue=&amp;spage=24&amp;au=&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
