Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
ASKS STEP TO FAVOR APARTMENT HOTELS,"Proposed amendments to the multiple dwelling law allowing revision of apartment hotel plans filed prior to April 18, 1929, to include serving pantries were approved yesterday by Mayor Walker's committee studying revision of the statute.",98616757,Historical Newspapers,," Copyright New York Times Company Jan 30, 1930"," 96043910-1 , 1549643 , 43896", article," Jan 30, 1930",0362-4331, English, English,," New York, N.Y.","Jan 30, 1930",New York Times (1923-Current file),1930,http://search.proquest.com/docview/98616757?accountid=14496, 18,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=ASKS+STEP+TO+FAVOR+APARTMENT+HOTELS%3A+WALKER+COMMITTEE+WOULD+LET+BUILDERS+ADD+KITCHENETTES+TO+PLANS+FILED+UNDER+OLD+LAW.+HUGE+PROJECTS+AFFECTED+%2475%2C000%2C000+IN+BUILDINGS+NOW+HELD+IN+ABEYANCE+BECAUSE+OF+DWELLING+LAW+CLASH.+OTHER+CHANGES+SUGGESTED+PROPOSAL+TO+PERMIT+ENGINEERS+TO+DESIGN+APARTMENT+STRUCTURES+REJECTED+AFTER+DEBATE.&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1930-01-30&amp;volume=&amp;issue=&amp;spage=18&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
RECIPES SPICED BY WIT IN THIS MALE COOK BOOK,"This witty and entirely delightful cook book has an interesting formula. It is made up of the knowledge of a connoisseur mixed with a lot of common sense and spiced with an irrepressible humor. It is the pleasant achievement of a man who, widely traveled, knows and delights in the foods of...",181154626,Historical Newspapers," Weigle, Edith
Edith
Edith Weigle
Weigle
EDITH WEIGLE"," Copyright Tribune Publishing Company Oct 24, 1930"," 480899602 , 6117712 , 53854", article," Oct 24, 1930",, English, English, 30," Chicago, Ill.","Oct 24, 1930",Chicago Daily Tribune (1923-1963),1930,http://search.proquest.com/docview/181154626?accountid=14496, 30,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=RECIPES+SPICED+BY+WIT+IN+THIS+MALE+COOK+BOOK%3A+BUT+IT%27S+NOT+FOR+THE+KITCHENETTE+WIFE.&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1930-10-24&amp;volume=&amp;issue=&amp;spage=30&amp;au=Weigle%2C+Edith&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
R.L. DANKS DIES OF GAS IN HOTEL DES ARTISTES,"Roy L. Danks, 36 years old, member of a wealthy New Haven, Conn., family, who had been living in New York for the last two years, was found dead of gas yesterday morning in his duplex apartment at the Hotel des Artistes, 1 West Sixty-seventh ...",98889493,Historical Newspapers,," Copyright New York Times Company Oct 27, 1930"," 102180075 , 1579721 , 43896", article," Oct 27, 1930",0362-4331, English, English,," New York, N.Y.","Oct 27, 1930",New York Times (1923-Current file),1930,http://search.proquest.com/docview/98889493?accountid=14496, 17,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=R.L.+DANKS+DIES+OF+GAS+IN+HOTEL+DES+ARTISTES%3A+BODY+OF+WEALTHY+NEW+HAVEN+MAN+FOUND+IN+KITCHENETTE--+SUICIDE+INQUIRY+ON.&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1930-10-27&amp;volume=&amp;issue=&amp;spage=17&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
WOMEN AT HOME,,522159349,Historical Newspapers,," Copyright The Irish Times Ltd. Nov 15, 1930"," 1572240412 , 23841133 , 81200", article," Nov 15, 1930",, English, English,," Dublin, Ireland","Nov 15, 1930",Weekly Irish Times (1921-1941),1930,http://search.proquest.com/docview/522159349?accountid=14496, 14,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpirishtimes&amp;atitle=WOMEN+AT+HOME%3A+ACCOMMODATION+IN+THE+KITCHENETTE&amp;title=Weekly+Irish+Times+%281921-1941%29&amp;issn=&amp;date=1930-11-15&amp;volume=&amp;issue=&amp;spage=14&amp;au=&amp;isbn=&amp;jtitle=Weekly+Irish+Times+%281921-1941%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Irish Times and The Weekly Irish Times
APARTMENT TENANTS DEMAND KITCHENS,A survey just completed by the National Association of Real Estate Boards on the use of kitchens and kitchenettes in apartment homes disclosed the fact that out of about,98594816,Historical Newspapers,," Copyright New York Times Company Dec 28, 1930"," 92131267 , 1530891 , 43896", article," Dec 28, 1930",0362-4331, English, English,," New York, N.Y.","Dec 28, 1930",New York Times (1923-Current file),1930,http://search.proquest.com/docview/98594816?accountid=14496, RE1,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=APARTMENT+TENANTS+DEMAND+KITCHENS%3A+NATIONAL+SURVEY+COVERING+20%2C000+SUITES+REVEALS+TREND+AWAY+FROM+KITCHENETTE.&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1930-12-28&amp;volume=&amp;issue=&amp;spage=RE1&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
THE KITCHENETTE,,162418281,Historical Newspapers,," Copyright Times Mirror Company Jan 11, 1931"," 386135841 , 5592312 , 53850", article," Jan 11, 1931",0458-3035, English, English, G7," Los Angeles, Calif.","Jan 11, 1931",Los Angeles Times (1923-Current File),1931,http://search.proquest.com/docview/162418281?accountid=14496, G7,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=THE+KITCHENETTE&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1931-01-11&amp;volume=&amp;issue=&amp;spage=G7&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
THE KITCHENETTE,,162429402,Historical Newspapers,," Copyright Times Mirror Company Feb 1, 1931"," 386211931 , 5592522 , 53850", article," Feb 1, 1931",0458-3035, English, English,," Los Angeles, Calif.","Feb 1, 1931",Los Angeles Times (1923-Current File),1931,http://search.proquest.com/docview/162429402?accountid=14496, G7,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=THE+KITCHENETTE&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1931-02-01&amp;volume=&amp;issue=&amp;spage=G7&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
BUREAU LISTS FOOD FOR LIMITED INCOME,"Recognition of the tact that not all the home makers in Washington are heads of families, but that many single women living alone enjoy the benefits of a real home, the Bureau of Home Economics of the Department of Agriculture in cooperation with the woman's division of the President's emergency committee for employment has taken under consideration this food and economic problem.",150214205,Historical Newspapers,," Copyright The Washington Post Company Mar 14, 1931"," 232892172 , 2001362 , 48614", article," Mar 14, 1931",, English, English, 12," Washington, D.C.","Mar 14, 1931",The Washington Post (1923-1954),1931,http://search.proquest.com/docview/150214205?accountid=14496, 12,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpwashingtonpost&amp;atitle=BUREAU+LISTS+FOOD+FOR+LIMITED+INCOME%3A+BEAN+SPROUTS+FOUND+DE-+LICIOUS+AND+MAY+BE+RAISED+IN+KITCHENETTE.&amp;title=The+Washington+Post+%281923-1954%29&amp;issn=&amp;date=1931-03-14&amp;volume=&amp;issue=&amp;spage=12&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post+%281923-1954%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Washington Post
THE KITCHENETTE,,162489322,Historical Newspapers,," Copyright Times Mirror Company Mar 15, 1931"," 386364301 , 5592942 , 53850", article," Mar 15, 1931",0458-3035, English, English, K7," Los Angeles, Calif.","Mar 15, 1931",Los Angeles Times (1923-Current File),1931,http://search.proquest.com/docview/162489322?accountid=14496, K7,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=THE+KITCHENETTE%3A+FRUIT+MARSHMALLOW+DELIGHT&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1931-03-15&amp;volume=&amp;issue=&amp;spage=K7&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
THE KITCHENETTE,,162446149,Historical Newspapers," Lurie, Gertrude
Gertrude
Gertrude Lurie
Lurie
Gertrude Lurie"," Copyright Times Mirror Company Mar 29, 1931"," 386419711 , 5593332 , 53850", article," Mar 29, 1931",0458-3035, English, English, G7," Los Angeles, Calif.","Mar 29, 1931",Los Angeles Times (1923-Current File),1931,http://search.proquest.com/docview/162446149?accountid=14496, G7,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=THE+KITCHENETTE%3A+ALMOND+DROPS&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1931-03-29&amp;volume=&amp;issue=&amp;spage=G7&amp;au=Lurie%2C+Gertrude&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
