"proqfiles.Title","proqfiles.Abstract","proqfiles.Authors","proqfiles.placeOfPublication","proqfiles.pubdate","proqfiles.pubtitle","proqfiles.year"
"ASKS STEP TO FAVOR APARTMENT HOTELS","Proposed amendments to the multiple dwelling law allowing revision of apartment hotel plans filed prior to April 18, 1929, to include serving pantries were approved yesterday by Mayor Walker's committee studying revision of the statute.",""," New York, N.Y.","Jan 30, 1930","New York Times (1923-Current file)",1930
"RECIPES SPICED BY WIT IN THIS MALE COOK BOOK","This witty and entirely delightful cook book has an interesting formula. It is made up of the knowledge of a connoisseur mixed with a lot of common sense and spiced with an irrepressible humor. It is the pleasant achievement of a man who, widely traveled, knows and delights in the foods of..."," Weigle, Edith
Edith
Edith Weigle
Weigle
EDITH WEIGLE"," Chicago, Ill.","Oct 24, 1930","Chicago Daily Tribune (1923-1963)",1930
"R.L. DANKS DIES OF GAS IN HOTEL DES ARTISTES","Roy L. Danks, 36 years old, member of a wealthy New Haven, Conn., family, who had been living in New York for the last two years, was found dead of gas yesterday morning in his duplex apartment at the Hotel des Artistes, 1 West Sixty-seventh ...",""," New York, N.Y.","Oct 27, 1930","New York Times (1923-Current file)",1930
"WOMEN AT HOME","",""," Dublin, Ireland","Nov 15, 1930","Weekly Irish Times (1921-1941)",1930
"APARTMENT TENANTS DEMAND KITCHENS","A survey just completed by the National Association of Real Estate Boards on the use of kitchens and kitchenettes in apartment homes disclosed the fact that out of about",""," New York, N.Y.","Dec 28, 1930","New York Times (1923-Current file)",1930
"THE KITCHENETTE","",""," Los Angeles, Calif.","Jan 11, 1931","Los Angeles Times (1923-Current File)",1931
"THE KITCHENETTE","",""," Los Angeles, Calif.","Feb 1, 1931","Los Angeles Times (1923-Current File)",1931
"BUREAU LISTS FOOD FOR LIMITED INCOME","Recognition of the tact that not all the home makers in Washington are heads of families, but that many single women living alone enjoy the benefits of a real home, the Bureau of Home Economics of the Department of Agriculture in cooperation with the woman's division of the President's emergency committee for employment has taken under consideration this food and economic problem.",""," Washington, D.C.","Mar 14, 1931","The Washington Post (1923-1954)",1931
"THE KITCHENETTE","",""," Los Angeles, Calif.","Mar 15, 1931","Los Angeles Times (1923-Current File)",1931
"THE KITCHENETTE",""," Lurie, Gertrude
Gertrude
Gertrude Lurie
Lurie
Gertrude Lurie"," Los Angeles, Calif.","Mar 29, 1931","Los Angeles Times (1923-Current File)",1931
"THE KITCHENETTE","",""," Los Angeles, Calif.","Apr 26, 1931","Los Angeles Times (1923-Current File)",1931
"THE KITCHENETTE","",""," Los Angeles, Calif.","May 24, 1931","Los Angeles Times (1923-Current File)",1931
"THE KITCHENETTE",""," Sarfatty, Stella
Stella
Stella Sarfatty
Sarfatty
Stella Sarfatty"," Los Angeles, Calif.","May 31, 1931","Los Angeles Times (1923-Current File)",1931
"THE KITCHENETTE",""," Prickett, Geraldine
Geraldine
Geraldine Prickett
Prickett
Geraldine Prickett"," Los Angeles, Calif.","Jun 14, 1931","Los Angeles Times (1923-Current File)",1931
"THE KITCHENETTE",""," Sutton, Gene
Gene
Gene Sutton
Sutton
Gene Sutton"," Los Angeles, Calif.","Jun 21, 1931","Los Angeles Times (1923-Current File)",1931
"OH, FOR A KITCHENETTE TO MAKE A SIMPLE MEAL","If you arm one of those unfortunate beings who must eat his main meal in a tea-room seven times a week, you will welcome an opportunity to prepare a few simple menus in your...",""," Baltimore, Md.","Jun 27, 1931","Afro-American (1893-1988)",1931
"Tour of States Is Made By Flying Kitchenette","Kansas City, Mo., July 19 (U.P.). -- A ""flying kitchenette"" airplane, complete even to the ice box and compact electric stove, now is being flown on a tour of the West by the Stinson Aircraft Co., of Detroit.",""," Washington, D.C.","Jul 20, 1931","The Washington Post (1923-1954)",1931
"THE KITCHENETTE",""," Williams, Dorothy
Dorothy
Dorothy Williams
Williams
Dorothy Williams"," Los Angeles, Calif.","Jul 26, 1931","Los Angeles Times (1923-Current File)",1931
"THE KITCHENETTE","",""," Los Angeles, Calif.","Aug 2, 1931","Los Angeles Times (1923-Current File)",1931
"THE KITCHENETTE",""," Iala Secondine
Iala Secondine"," Los Angeles, Calif.","Aug 9, 1931","Los Angeles Times (1923-Current File)",1931
"MUM'S THE WORD, BUT THE BRAND IS KITCHENETTE SEC","Champagne making in the home, aided by the artistry, of traveling winemakers, appears to be growing in 1931, under the benevolent smile which Volsteadism has turned upon California's sun kissed grape industry and its ""grape concentrates."""," Evans, Arthur
Arthur
Arthur Evans
Evans
ARTHUR EVANS"," Chicago, Ill.","Aug 14, 1931","Chicago Daily Tribune (1923-1963)",1931
"THE KITCHENETTE","Grease a pudding mold or bowl, then put in the bread crumbs and marmalade in thin layers, till all are used. Beat the eggs very lightly, yolks and whites together, and add the milk to form a custard. Pour over the ingredients in the bowl and let stand ten minutes."," Lachapelle, Harold
Harold
Harold Lachapelle
Lachapelle
Harold Lachapelle"," Los Angeles, Calif.","Aug 23, 1931","Los Angeles Times (1923-Current File)",1931
"THE KITCHENETTE","One cup sugar, one-eighth teaspoon cream of tartar, three-fourths cup water, three-fourths cup of nuts."," Ball, Eileen
Eileen
Eileen Ball
Ball
Eileen Ball"," Los Angeles, Calif.","Aug 30, 1931","Los Angeles Times (1923-Current File)",1931
"THE KITCHENETTE","",""," Los Angeles, Calif.","Sep 6, 1931","Los Angeles Times (1923-Current File)",1931
"THE KITCHENETTE",""," Krueger, Fern
Fern
Fern Krueger
Krueger
Fern Krueger"," Los Angeles, Calif.","Sep 13, 1931","Los Angeles Times (1923-Current File)",1931
"THE KITCHENETTE","Cream together the butter and sugar, then add the grated cocoanut and eggs. Mix in the flour and baking powder which have been sifted together. Lastly, add vanilla and enough milk to make a stiff batter. Drop with a teaspoon on a greased cooking sheet and bake in a hot oven twelve or fifteen minutes."," Kendrick, Madeleine
Madeleine
Madeleine Kendrick
Kendrick
Madeleine Kendrick"," Los Angeles, Calif.","Oct 11, 1931","Los Angeles Times (1923-Current File)",1931
"KITCHENETTE",""," Godat, Viola
Viola
Viola Godat
Godat
Viola Godat"," Los Angeles, Calif.","Oct 18, 1931","Los Angeles Times (1923-Current File)",1931
"KITCHENETTE",""," Lloyd, Patricia
Patricia
Patricia Lloyd
Lloyd
Patricia Lloyd"," Los Angeles, Calif.","Oct 25, 1931","Los Angeles Times (1923-Current File)",1931
"KITCHENETTE",""," Blair, Betty
Betty
Betty Blair
Blair
Betty Blair"," Los Angeles, Calif.","Nov 1, 1931","Los Angeles Times (1923-Current File)",1931
"KITCHENETTE","Two and one-half cups of powdered sugar, one and one-half tablespoons of butter, one-half cup of milk, three tablespoons cocoa, pinch of baking soda, pinch of salt, one teaspoon vanilla."," Lloyd-Butler, Sheila
Sheila
Sheila Lloyd-Butler
Lloyd-Butler
Sheila Lloyd-Butler"," Los Angeles, Calif.","Nov 8, 1931","Los Angeles Times (1923-Current File)",1931
"KITCHENETTE",""," Ball, Eileen
Eileen
Eileen Ball
Ball
Eileen Ball"," Los Angeles, Calif.","Nov 22, 1931","Los Angeles Times (1923-Current File)",1931
"KITCHENETTE",""," Parsons, Charlotte
Charlotte
Charlotte Parsons
Parsons
Charlotte Parsons"," Los Angeles, Calif.","Dec 6, 1931","Los Angeles Times (1923-Current File)",1931
"KITCHENETTE",""," Bradley, Martha
Martha
Martha Bradley
Bradley
Martha Bradley"," Los Angeles, Calif.","Dec 13, 1931","Los Angeles Times (1923-Current File)",1931
"Mayfair Going Kitchenette; Mansions Close","London's exclusive west end residential district where the great town houses of the nobility stand--many of them now with shutters locked--is undergoing a constant change, likely to become more pronounced during the new year.",""," Chicago, Ill.","Jan 13, 1932","Chicago Daily Tribune (1923-1963)",1932
"KITCHENETTE LEMON JELLY",""," Parsons, Charlotte
Charlotte
Charlotte Parsons
Parsons
Charlotte Parsons , Loma, Alta
Alta
Alta Loma
Loma
Alta Loma"," Los Angeles, Calif.","Jan 17, 1932","Los Angeles Times (1923-Current File)",1932
"KITCHENETTE",""," Marry Howard Francis
Marry Howard Francis"," Los Angeles, Calif.","Feb 14, 1932","Los Angeles Times (1923-Current File)",1932
"Kitchenette Cuts Call For 25 Pound Turkeys","",""," Washington, D.C.","Mar 13, 1932","The Washington Post (1923-1954)",1932
"THE KITCHENETTE",""," Griffiths, Dolores Mae
Dolores
Dolores Mae Griffiths
Griffiths
Mae
Dolores Mae Griffiths"," Los Angeles, Calif.","Apr 10, 1932","Los Angeles Times (1923-Current File)",1932
"""In a fat egg cup stood the brownest of brown eggs""","One can get a real thrill these days out of running down the newest and most novel gadgets in kitchen equipment. Between the imaginative manufacturers and the versatile inventors almost every day sees the arrival of a new species of weiner roaster, egg cooker, or unbuckling cake pan--not..."," Guthrie, Jean
Jean
Jean Guthrie
Guthrie
JEAN GUTHRIE"," Chicago, Ill.","May 13, 1932","Chicago Daily Tribune (1923-1963)",1932
"KITCHENETTE",""," Sarfatty, Stella
Stella
Stella Sarfatty
Sarfatty
Stella Sarfatty"," Los Angeles, Calif.","Sep 11, 1932","Los Angeles Times (1923-Current File)",1932
"SEA PENTHOUSE MAY BE NEXT","",""," Los Angeles, Calif.","Sep 6, 1933","Los Angeles Times (1923-Current File)",1933
"Penthouse Ice Boxes Carry Nibbler's Bits","The vogue for tiny penthouses and small apartments continues to be increasingly popular for the newly-weds, the young business women, and the college men who boast of questionable culinary triumphs in their diminutive kitchenettes.",""," Washington, D.C.","Jan 9, 1934","The Washington Post (1923-1954)",1934
"Well-Planned Remodeling Transforms Bare Attic Into Attractive Apartment","IT is only natural after these times which we have been passing through that, in considering any change or alteration in ou home, the question of cost should be paramount; that we should ask ourselves not only how much increased comfort and pleasure we are going to get from..."," Bargelt, Louise
Louise
Louise Bargelt
Bargelt
Louise Bargelt"," Chicago, Ill.","Mar 4, 1934","Chicago Daily Tribune (1923-1963)",1934
"Dutch Oven Cookery Is Source of Tender Meats","THE old iron pot, known familiarly as the Dutch oven, has stewed the gruel, and bubbled the soup, and braised the mighty beef cuts of our great greats for hundreds upon hundreds of years. In fact, too often we moderns think of it simply as a heavy old incumbrance of our grandmother's time, and quite outdated for modern cookery. Which is all wrong. For Dutch ovens, both of iron and of the gleaming new cast aluminum, now all over the markets."," Meade, Mary
Mary
Mary Meade
Meade
Mary Meade"," Chicago, Ill.","Jun 17, 1934","Chicago Daily Tribune (1923-1963)",1934
"Inexpensive Snacks Aid Sunday 'At Homes'","THE SMALL APARTMENT KITCHENETTE offers the working woman one grand means of entertaining. She can have open house on Sunday and with the aid of her small stove turn out a few delicacies that will enhance the cup of fragrant tea offered hospitably to her guests. No matter how small or cramped her apartment an attractively arranged tea tray gleaming in the light of flickering candles will weave a spell of charm about her humble place of dwelling."," By Dorothea Duncan.
By Dorothea Duncan."," Washington, D.C.","Feb 10, 1935","The Washington Post (1923-1954)",1935
"Toy Size Washer Ideally Designed for Kitchenette","",""," Chicago, Ill.","Mar 3, 1935","Chicago Daily Tribune (1923-1963)",1935
"_APARTMENTS AS D FLATS T LET AND WANTED TOU T TOUT XaoghalrcHFlat Let Fnrn ishca Fnrnishca _Dstlroom a f _a-f _sittmsioom _kitchenette ne wly newly deco rotea _decorotea plectric","",""," Dublin, Ireland","Mar 27, 1935","The Irish Times (1921-Current File)",1935
"Kitchenette Cook","THIS is that same chef-author whose ""The Vicomte in the Kitchen"" won much admiration and interest from connoisseurs but was found rather too much in the grand manner to appeal to apartment house hostesses. And so for their benefit he has written this little guidebook for the more informal cooking and serving in apartment homes.",""," New York, N.Y.","Jul 7, 1935","New York Times (1923-Current file)",1935
"Kitchenette Needed Next to Playroom","",""," Washington, D.C.","Aug 4, 1935","The Washington Post (1923-1954)",1935
"Paris Society Moving to Tiny Apartments","The high cost of living--not to say the cost of living high--and the increasing complexities of the servant problem has increased the tendency of Parisiennes to give up sizable apartments of the autonomous sort and seek accommodation in smaller flats,..."," Birkhead, May
May
May Birkhead
Birkhead
May Birkhead"," Chicago, Ill.","Jan 26, 1936","Chicago Daily Tribune (1923-1963)",1936
"Kitchenette Cooking","NOTWITHSTANDING the already long and ever-growing list of cook books available, there is ample room and need for this new one, especially designed for those who live in kitchenette apartments, whether singly or in pairs. Its opening chapter will be especially valuable for the business woman who has not had much instruction In housekeeping and cooking, for it is packed full of most excellent advice and suggestion for living efficiently, comfortably and with homey satisfaction in the contracted quarters of the kitchenette apartment",""," New York, N.Y.","Mar 8, 1936","New York Times (1923-Current file)",1936
"West Side Flats Will Be Made Into Kitchenettes","",""," Chicago, Ill.","Aug 9, 1936","Chicago Daily Tribune (1923-1963)",1936
"CANNING DAYS COME FOR NEW YORKERS, TOO","SPICY aromas throughout the house; the sound of the chopping board in the big kitchen; kettles simmering and steaming on the wood stove, and long rows of mason jars ready to go on the shelves in the pantry."," By FLORENCE BROBECK
By FLORENCE BROBECK"," New York, N.Y.","Sep 27, 1936","New York Times (1923-Current file)",1936
"Dining Room Is Regaining In Popularity","THE DINING ROOM has returned to vogue. Kitchenette cookery-dining and the mad rush of going places, for a time, submerged the dining room -- it became the ""forgotten room"" of the house. Now with the return to gracious living and dining and the present trend toward elegance and luxury in the feminine wardrobe, the dining room is once more the scene of social gatherings."," By Marianne Butler
By Marianne Butler"," Washington, D.C.","Oct 2, 1936","The Washington Post (1923-1954)",1936
